act,prompt,precio1,precio2,image_url
CABLE MINI DP A DP 1.5 MT,"Tipo de conector: DisplayPort
Dispositivos compatibles:Projector, Laptop, Monitor, Television, Personal Computer, Tablet
Marca GENERICO
Genero del conector: Macho a Macho",25,13:12;100:11;,https://daphtech.com/wp-content/uploads/2021/08/1-12.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-10.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-11.jpg
CABLE DP A DP 1.5 MT,"Alta calidad 1.8M varon de DisplayPort al cable de extension DisplayPort macho. Aplicaciones Con conexion entre ordenador, portatil y monitor, proyector, etc.",25,13:12.00;100:11.00;,https://daphtech.com/wp-content/uploads/2021/08/3-13.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-14.jpg | https://daphtech.com/wp-content/uploads/2021/08/1-14.jpg
"CABLE VGA MACHO a 2 VGA HEMBRA CABLE ""Y""","
Cable VGA con conector HDB15 macho a 2 conectores HDB15 hembras.


Para conectar 2 dispositivos VGA simultaneamente.
",,,https://daphtech.com/wp-content/uploads/2021/08/2-15.jpg | https://daphtech.com/wp-content/uploads/2021/08/1-15.jpg
"CABLE ""Y"" VGA MACHO a 2 VGA HEMBRAS","
VGA macho a 2 VGA hembra divisor/convertidor
El Cable VGA macho a VGA hembra Dual convierte/Abre 1 VGA macho a 2 VGA hembra.
Este Cable VGA a VGA Dual conecta tu ordenador a dos monitores diferentes con pantalla VGA.
",20,13:13;100:12;,https://daphtech.com/wp-content/uploads/2021/08/2-16.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-14.jpg | https://daphtech.com/wp-content/uploads/2021/08/1-16.jpg
CABLE PARALELO DB25 MACHO a PARALELO 36 Pines Hembra 1.50 MT,"
Numero de Conectores 2, 1 x DB-25 de 25 pines macho 1 x puerto paralelo de 36 pines macho
Impresora Cable paralelo
",15,13:6;100:5;,https://daphtech.com/wp-content/uploads/2021/08/1-18.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-18.jpg
CABLE PARALELO DB25 (PARALELO) MACHO A MACHO,"25Pin DB25 paralelo macho a hembra impresora LPT DB25 Cable de M-F 1,5 M Cable de ordenador Cable de extension de impresora 25 Pin LPT",15,13:6;100:5;,https://daphtech.com/wp-content/uploads/2021/08/1-19.jpg
CABLE VGA A DVI 1.5 MT 24+1 ENMALLADO,"
DVI 24 5 Macho.
VGA Macho.
enmallado negro con rojo.
",15,13:7;100:6;,https://daphtech.com/wp-content/uploads/2021/08/1-20.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-20.jpg
CABLE DVI 24+1 A DVI 24+1 1.5 MT ENMALLADO,"Cable DVI-D de 1,5 metros de longitud reforzado con malla de nylon trenzada que le da una alta resistencia. Preparado para conectar monitores con conexion DVI a las nuevas tarjetas graficas que incorporen conectores DVI.",15,13:7;100:6;,https://daphtech.com/wp-content/uploads/2021/08/1-21.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-21.jpg
CABLE HDMI A DVI 24+1 1.5 MT ENMALLADO,"
Tipo de conector: HDMI tipo macho a dvi de 24   1 pines macho.
Recubrimiento del conectores: Dorados
Longitud del cable: 1.50 metros
Color: Negro
",15,13:7;100:6;,https://daphtech.com/wp-content/uploads/2021/08/1-22.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-22.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-16.jpg
CABLE HDMI A RCA 1.5 MT ENMALLADO,"
Este es un cable de transmision de HDMI a RCA, no se puede utilizar RCA a HDMI, lo que significa que el dispositivo de visualizacion (TV o monitor) es el extremo RCA.
",15,13:7;100:6;,https://daphtech.com/wp-content/uploads/2021/08/1-23.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-17.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-23.jpg
Cable HDMI a MINI HDMI 1.5MT. PVC,"Largo del cable: 1.5 metros
Entrada: Mini Hdmi Macho
Salida: HDMI Macho",18,13:9;100:7;,https://daphtech.com/wp-content/uploads/2021/08/1-24.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-24.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-18.jpg
CABLE OPTICO OD2.20FINO 3 MT,"
Conectores: Macho a Toslink macho
Disenado para CD, convertidores D / A, receptores de sonido Dolby Digital DTS Surround, DVD, reproductores y grabadoras MiniDisk, tarjetas de audio Pro, etc.
",10,13:5.50;100:5.00;,https://daphtech.com/wp-content/uploads/2021/08/1-26.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-25.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-19.jpg
CABLE OPTICO OD6 1.5 MT - 3 MT,"
OD 6.0 macho generico macho a macho cable de fibra.
",13.3,,https://daphtech.com/wp-content/uploads/2021/08/1-25.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-26.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-20.jpg
CABLE TIPO 8 PLANO 1.5 MT PVC,"
Cable de alimentacion PLANO Generico tipo 8.
",5,13:1.5;100:1.3;,https://daphtech.com/wp-content/uploads/2021/08/1-27.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-27.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-21.jpg
CABLE TREBOL / TRILLIZO REDONDO 1.5 - 1.8 Mts,"
Cable de Poder para adaptador tipo trebol / trillizo.
",,,https://daphtech.com/wp-content/uploads/2021/08/trilli.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-28.jpg
CABLE PODER REDONDO 1.5 - 1.8 Mts,Cable alimentador de poder de 1.5 a 1.8 Mts.,,,https://daphtech.com/wp-content/uploads/2021/08/1-36.jpg
CABLE AUDIO PLUG A PLUG 1.5 Mts,"
Ideal para conectar en una entrada auxiliar de audio un mp3, mp4, mp5, celular y cualquier otro dispositivo con salida auxiliar.
conexion: plug 3.5mm en ambos extremos.
Largo:1,5 metro
",5,13:1.5;100:1.1;,https://daphtech.com/wp-content/uploads/2021/08/3-22.jpg | https://daphtech.com/wp-content/uploads/2021/08/1-29.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-29.jpg
CABLE EXTENSION DE AUDIO 1.5 MT a 3 MT Macho a Hembra,"
Cable Auxiliar Plus 3.5 Mm Extension Macho Hembra 1.5 Mt
CONEXION A MP3, ALTA VOZ, MP4, COLOR NEGRO
",2.47,,https://daphtech.com/wp-content/uploads/2021/08/1-30.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-30.jpg
CABLE AUDIO PLUG A 2 RCA 1.5MT PVC,"Plug macho estereo a 2 RCA macho Phono Audio cable de altavoz.

Longitud: 1,2 M y otras longitudes disponibles.
Color: Negro/Blanco/otro color
",5,13:1.50;100:1.30;,https://daphtech.com/wp-content/uploads/2021/08/2-31.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-23.jpg | https://daphtech.com/wp-content/uploads/2021/08/1-31.jpg
CABLE DVD 1.5MT PVC,"

Conector de entrada: RCA


Conector de salida: RCA




Largo del cable: 5 m


Cantidad de conectores de entrada: 3




Cantidad de conectores de salida: 3

",5,13:1.5;100:1.3;,https://daphtech.com/wp-content/uploads/2021/08/1-32.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-24.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-32.jpg
"CABLE PARA PLAY 1, 2 y 3","Cable AV de Audio y video de alta calidad, Cable de Cable a 3 RCA, Cable de TV para Playstation PS1, PS2, Cable de consola PS3",5.7,,https://daphtech.com/wp-content/uploads/2021/08/1-34.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-26.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-34.jpg
CABLE HDMI A HDMI 1.5 MT + MINI+ CRICRO,"
1 Cable HDMI Macho/Macho 1.50m
1 Adaptador Mini HDMI a HDMI Hembra
1 Adaptador Micro HDMI a HDMI Macho
",15,13:7;100:6.5;,https://daphtech.com/wp-content/uploads/2021/08/1-35.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-35.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-27.jpg
CABLE VGA VGA 1.5 a 20 Mts,"
CABLE VGA VGA 1.5 a 20 Mts
Con este cable podras conectar tu PC o Notebook a una TV, Monitor, Proyector y disfrutar de tus contenidos.
",,,https://daphtech.com/wp-content/uploads/2021/08/1-37.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-36.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-28.jpg
CABLE VGA VGA 3 A 10 Mts MALLA,"El cable VGA de Alta Resolucion (3 metros), MXTMMHQ3M esta disenado para proporcionar la maxima calidad de video posible a traves de VGA por lo que resulta la solucion ideal para aplicaciones que requieren resoluciones de 1920x1200 o superiores.",,,https://daphtech.com/wp-content/uploads/2021/08/1-38.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-37.jpg
CABLE HDMI A HDMI 1.5 a 30 Mts V1.4 ENMALLADO,"Marca: GENERICO
Tipo: Cable
Conexion: HDMI a HDMI
Caracteristicas: Cable adaptador de HDMI a HDMI
Material: Enmallado",,,https://daphtech.com/wp-content/uploads/2021/08/1-40.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-30.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-39.jpg
CABLE HDMI A HDMI 1.5 - 20 Mts REDONDO,"
Cable HDMI macho-Macho chapado en oro de 1,5 A 20 metros, 1,4 p, 3D, para HDTV, XBOX, PS3, cable de alta velocidad para hdmi, version 1080
",,,https://daphtech.com/wp-content/uploads/2021/08/1-41.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-40.jpg | https://daphtech.com/wp-content/uploads/2021/08/3-31.jpg
CABLE HDMI HDMI 1.5 Mts a 20 PLANO,"
Cable plano ultraflexible,
Longitud 1.5 - 20mts
Version 1.4
Soporta 1080Full hd
4k 32bits
",,,https://daphtech.com/wp-content/uploads/2021/08/1-42.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-41.jpg
CABLE HDMI A HDMI 1 Mts a 20 Mts RENDONDO V2.0 4K,"
CABLE HDMI A HDMI 1 Mts a 20 Mts 4k
Con el podras conectar dispositivos como reproductores de DVD, receptores de A / V, decodificadores, receptores de satelite con salidas HDMI a tu TV de alta definicion (HDTV).
",,,https://daphtech.com/wp-content/uploads/2021/08/1-44.jpg | https://daphtech.com/wp-content/uploads/2021/08/2-43.jpg | https://daphtech.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-12-22-at-2.10.55-PM.jpg | https://daphtech.com/wp-content/uploads/2022/03/WhatsApp-Image-2022-12-22-at-2.10.55-PM-1.jpg
AUDIFONOS EXTRA BASS 450AP,AUDIFONOS CON MICROFONO INCORPORADO MODELO PLEGABLE,25,3:18.00;50:16;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_450AP_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_450AP_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_450AP_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_450AP_5.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_450AP_4.jpg
Consola de Juegos K5,K5 Plus Consola de juegos de mano retro,55,13:38.00;100:35.00;,https://daphtech.com/wp-content/uploads/2021/12/gameboxk5_daphtech_4-1.jpg | https://daphtech.com/wp-content/uploads/2021/12/gameboxk5_daphtech_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/gameboxk5_daphtech_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/gameboxk5_daphtech_3.jpg
CASE PARA TABLET UNIVERSAL MODELO POP IT,Case para Tablet Modelo Pop It,,,https://daphtech.com/wp-content/uploads/2021/12/case_arcoiris_daphtech_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/case_arcoiris_daphtech_8.jpg | https://daphtech.com/wp-content/uploads/2021/12/case_arcoiris_daphtech_7.jpg | https://daphtech.com/wp-content/uploads/2021/12/case_arcoiris_daphtech_5.jpg | https://daphtech.com/wp-content/uploads/2021/12/case_arcoiris_daphtech_4.jpg | https://daphtech.com/wp-content/uploads/2021/12/case_arcoiris_daphtech_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/case_arcoiris_daphtech_1.jpg
AUDIFONOS KUBITE T996,AUDIFONOS PARA PC KUBITE T996,30,3:25.00;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T996_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T996_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T996_4.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T996_1.jpg
AUDIFONOS XY550,nan,25,3:20;40:18;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_XY550_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_XY550_1-1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_XY550_2.jpg
AUDIFONO GAMER BASICO,nan,50,3:45;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M1_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M1_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M1_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M1_4.jpg
AUDIFONOS T156,nan,22,3:18.00;50:16;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T156_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T156_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T156_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T156_4.jpg
AUDIFONOS GAMER SZ881PRO,AUDIFONOS CON MICROFONO INCORPORADO MODELO PLEGABLE,55,3:50.00;30:46.00;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_SEZ881PRO_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_SEZ881PRO_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_SEZ881PRO_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_SEZ881PRO_4.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_SEZ881PRO_5.jpg
AUDIFONOS M2,nan,50,3:45;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M2_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M2_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_450AP_3-1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M2_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M2_4.jpg
AUDIFONOS TIPO GATO CXTB39,"
AUDIFONOS MODELO GATO",43,3:38.00;50:36;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_CXTB39_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_CXTB39_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_CXTB39_3.jpg
AUDIFONOS KUBITE K-17,"KUBITE-auriculares K-17 Pro para videojuegos, cascos por encima de la oreja con USB, 3,5mm, reduccion de ruido con microfono para PC y Escritorio",90,3:85.00;40:80;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K17_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K17_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K17_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K17_4.jpg
AURICULARES KUBITE T2,Auriculares KUBITE T2,60,3:55.00;40:50;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AU2_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AU2_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AU2_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AU2_4.jpg
AUDIFONO AS90,AUDIFONOS CON MICROFONO INCORPORADO MODELO GAMER,60,3:50.00;40:45;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AS90_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AS90_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AS90_3.jpg
AUDIFONO K10,nan,60,3:55;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K16_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K16_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K16_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_K16_4.jpg
AUDIFONO XY-940,Auriculares bluetooth inalambricos del OEM con el auricular plegable estereo bajo de la venda de la tarjeta del SD del microfono,48,3:43.00;50:40;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_XY940_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_XY940_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_XY940_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_XY940_4.jpg
AUDIFONOS BW06,nan,65,3:60;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_BW06_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_BW06_1.jpg
AUDIFONO AS40,nan,75,3:65;20:60;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AS40_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_AS40_1.jpg
AUDIFONOS T590,AUDIFONOS CON MICROFONO INCORPORADO MODELO GAMER,35,3:28.00;50:25;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T590_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T590_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T590_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_T590_4.jpg
AUDIFONOS TV10,AUDIFONOS CON MICROFONO INCORPORADO MODELO PLEGABLE,30,3:26;50:22;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_450AP_1-1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_TV10_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_TV10_2.jpg
AUDIFONOS 950BT,nan,40,3:32.00;50:29;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_950BT_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_950BT_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_950BT_3.jpg
AUDIFONO P1,nan,30,3:25.00;60:22;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_P1_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_P1_1.jpg
AUDIFONOS M2,"

Auriculares M2 con luz Led, cascos inalambricos por encima de la oreja con orejas de gato",50,3:42.00;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M2_2-1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M2_1-1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_M2_3-1.jpg
AUDIFONOS GATO-BK1,"


Audifonos bluetooth inalambricos con lindo gancho oreja de gato-BK1",50,3:45;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_BK1_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_BK1_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_BK1_2.jpg
AUDIFONOS CAT A28,nan,45,3:38.00;,https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_A28_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_A28_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/audifono_daphtech_A28_3.jpg
PARLANTE HF,"


H & F-Altavoz Bluetooth F686, reproductor de musica inalambrico portatil con tarjeta TF, RADIO FM, soporte USB",55,3:42;40:36;,https://daphtech.com/wp-content/uploads/2021/12/parlante-hff686_daphtech_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-hff686_daphtech_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-hff686_daphtech_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-hff686_daphtech_4.jpg
PARLANTE LINTERNA,"


Minialtavoz portatil de ZQ-101, con entrada USB, Bluetooth, color azul, nuevo estilo",25,3:20;50:16;,https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_4.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_5.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_6.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_7.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-linterna_daphtech_8.jpg
Strong Bass J ET-901," 



Strong Bass J ET-901 Portable Mini Speaker with Bluetooth Wireless , USB Pendrive, Micro SD Card , FM Radio",60,3:46;50:42;,https://daphtech.com/wp-content/uploads/2021/12/parlante-et901_daphtech_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-et901_daphtech_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-et901_daphtech_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-et901_daphtech_4.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-et901_daphtech_5.jpg | https://daphtech.com/wp-content/uploads/2021/12/parlante-et901_daphtech_6.jpg
PARLANTE Q3,"

PARLANTE Q3 MULTIMEDIA",30,3:25.00;50:19;,https://daphtech.com/wp-content/uploads/2021/12/VLQ3_daphtech_3.jpg | https://daphtech.com/wp-content/uploads/2021/12/VLQ3_daphtech_1.jpg | https://daphtech.com/wp-content/uploads/2021/12/VLQ3_daphtech_2.jpg | https://daphtech.com/wp-content/uploads/2021/12/VLQ3_daphtech_4.jpg
CABLE TREBOL / TRILLIZO REDONDO 1.5 - 1.8 Mts - 1.5Mts,Metros: 1.5Mts,8,13:2.5;100:2;,nan
CABLE TREBOL / TRILLIZO REDONDO 1.5 - 1.8 Mts - 1.8Mts,Metros: 1.8Mts,8,13:2.5;100:2;,nan
CABLE PODER REDONDO 1.5 - 1.8 Mts - 1.5Mts,Metros: 1.5Mts,8,13:2.5;100:2;,nan
CABLE PODER REDONDO 1.5 - 1.8 Mts - 1.8Mts,Metros: 1.8Mts,9,13:3;100:2.2;,nan
CABLE VGA VGA 1.5 a 20 Mts - 1.8Mts,Metros: 1.8Mts,7,13:3.5;100:2.5;,nan
CABLE VGA VGA 1.5 a 20 Mts - 10 Mts,Metros: 10 Mts,25,13:13;100:12;,nan
