act,prompt
CABLE MINI DP A DP 1.5 MT,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Bidireccional: cable Mini DisplayPort a DisplayPort y DisplayPort a Mini DisplayPort. 0,45 metros negro. Conexión de un mini DisplayPort W/Compatible con PC a un monitor o proyector con DisplayPort. o conectar un DisplayPort compatible PC y portátil a un monitor con mini Displayport.</span></li>
 	<li><span class=""a-list-item"">Soporte DisplayPort 1.3: transmite audio y vídeo desde el computadora o tablet a visualización monitor de alta definición; Soporta 4 K (3840 x 2160) Resolución Ultra HD, 2 K @ 144Hz y audio impecable pass-thru para comprimir digitales 7.1, 5.1 o 2 canales</span></li>
 	<li><span class=""a-list-item"">Durabilidad: los conectores chapados en oro resisten la corrosión, proporcionan durabilidad y mejorar la transmisión de la señal; Papel de aluminio y blindaje de trenza reduce la interferencia electromagnética; Conductor de cobre desnudo mejora el rendimiento del cable</span></li>
 	<li><span class=""a-list-item"">Lista de compatibilidad: Apple MacBook, MacBook Pro, MacBook Air, iMac, Mac mini, Mac Pro, Microsoft Surface Pro/Pro 2/Pro 3 (no para Windows RT); Lenovo ThinkPad X1 Carbon, X230/X240s, L430/L440/L530/L540, T430/T440, T440s/T440p/T530/540p, W530/W540, Helix; Dell XPS 13/14/15/17, Latitude E7240 E7440, Precision M3800; Alienware 14/17/18; Acer Aspire R7/S7/V5/V7; Intel NUC; Asus Zenbook; HP Envy 14/17; Google Chromebook Pixel; CyberPower zeusbook Edge X6; Toshiba Satellite Pro S500</span></li>
 	<li><span class=""a-list-item"">Protección Amazon 30 días de devolución del dinero y 18 meses de garantía del producto</span></li>
</ul>"
CABLE DP A DP 1.5 MT,"Alta calidad 1.8M varón de DisplayPort al cable de extensión DisplayPort macho. Aplicaciones Con conexión entre ordenador, portátil y monitor, proyector, etc.
<h2 class=""div-title"">Especificaciones</h2>
<ul class=""attrul"">
 	<li><strong>Tipo de interfaz:</strong>
<div class=""des-wrap"">DisplayPort</div></li>
 	<li><strong>Longitud:</strong>
<div class=""des-wrap"">gt; = 1,5 m</div></li>
 	<li><strong>Embalaje:</strong>
<div class=""des-wrap"">Bolsa de plástico</div></li>
 	<li><strong>Envase:</strong>
<div class=""des-wrap"">Bolso de OPP</div></li>
 	<li><strong>Blindaje:</strong>
<div class=""des-wrap"">Sin brindado</div></li>
 	<li><strong>Tipo de Conector:</strong>
<div class=""des-wrap"">Estéreo</div></li>
 	<li><strong>Color de Conector:</strong>
<div class=""des-wrap"">Dorado</div></li>
 	<li><strong>Tipo:</strong>
<div class=""des-wrap"">Cable Cable DP macho a DP macho</div></li>
 	<li><strong>Género:</strong>
<div class=""des-wrap"">Hombre-Hombre</div></li>
 	<li><strong>Aplicación:</strong>
<div class=""des-wrap"">Multimedia</div></li>
 	<li><strong>Código de artículo:</strong>
<div class=""des-wrap"">476550492</div></li>
</ul>"
"CABLE VGA MACHO a 2 VGA HEMBRA CABLE ""Y""","<ul>
 	<li>Cable VGA con conector HDB15 macho a 2 conectores HDB15 hembras.</li>
</ul>
<ul>
 	<li>Para conectar 2 dispositivos VGA simultaneamente.</li>
</ul>"
"CABLE ""Y"" VGA MACHO a 2 VGA HEMBRAS","<strong>Especificación:</strong>
<ul class=""list-paddingleft-2"">
 	<li>Marca nueva</li>
 	<li>Cable: 15 pin macho a 2x15 pin VGA hembra</li>
 	<li>Diseñado con conectores chapados en oro y resistentes a la corrosión, este cable convertidor VGA macho a doble hembra VGA se une a 1 VGA macho a 2 VGA hembra. La construcción totalmente moldeada garantiza una larga vida útil y un alto rendimiento.</li>
</ul>
<strong>Característica:</strong>
<ul class=""list-paddingleft-2"">
 	<li>VGA macho a 2 VGA hembra divisor/convertidor</li>
 	<li>El Cable VGA macho a VGA hembra Dual convierte/Abre 1 VGA macho a 2 VGA hembra.</li>
 	<li>Este Cable VGA a VGA Dual conecta tu ordenador a dos monitores diferentes con pantalla VGA.</li>
 	<li>El convertidor VGA a VGA doble está diseñado con conectores chapados en oro y resistentes a la corrosión.</li>
 	<li>Conectores del divisor VGA a VGA Dual.</li>
</ul>
<strong>Crisol de grafito mini horno de oro de la antorcha de fusión del metal:</strong>
<ul class=""list-paddingleft-2"">
 	<li>1 x Cable divisor VGA</li>
</ul>
<strong> </strong><strong>Nota:</strong>
<ul class=""list-paddingleft-2"">
 	<li>Este artículo es de 1 VGA macho a 2 VGA hembra, que no se puede invertir.</li>
 	<li>Por favor permita menorDesviaciónDebido a la medición manual.</li>
 	<li>Debido a la diferencia entre diversos monitores, la imagen puede no reflejar el color real del artículo.</li>
</ul>
&nbsp;"
CABLE PARALELO DB25 MACHO a PARALELO 36 Pines Hembra 1.50 MT,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Número de Conectores 2, 1 x DB-25 de 25 pines macho 1 x puerto paralelo de 36 pines macho</span></li>
 	<li><span class=""a-list-item"">Impresora Cable paralelo</span></li>
</ul>"
CABLE PARALELO DB25 (PARALELO) MACHO A MACHO,"25Pin DB25 paralelo macho a hembra impresora LPT DB25 Cable de M-F 1,5 M Cable de ordenador Cable de extensión de impresora 25 Pin LPT"
CABLE VGA A DVI 1.5 MT 24+1 ENMALLADO,"<ul class=""sc-eJBYSJ csTlMB"" role=""tablist"">
 	<li id=""react-tabs-4"" class=""sc-fFYUoA FCJNq"" role=""tab"">Recubrimiento de conectores Dorados</li>
</ul>
<div class=""sc-dYzljZ bEFvXX"">
<div id=""react-tabs-1"" class=""sc-iitrsy eGMabU is-selected"" role=""tabpanel"" aria-labelledby=""react-tabs-0"">
<div class=""sc-jgHCyG sc-hlWvWH eZqcrI dgxEoC"">
<ul class=""sc-eUWgFQ hcHFJT"">
 	<li class=""sc-gATInX eLNwxb"">DVI 24 5 Macho.</li>
 	<li class=""sc-gATInX eLNwxb"">VGA Macho.</li>
 	<li class=""sc-gATInX eLNwxb"">enmallado negro con rojo.</li>
 	<li class=""sc-gATInX eLNwxb"">Tapas de protección en policarbonato.</li>
 	<li class=""sc-gATInX eLNwxb"">Longitud: 1.5 metros</li>
 	<li class=""sc-gATInX eLNwxb"">emitimos Boleta o factura</li>
</ul>
</div>
</div>
</div>"
CABLE DVI 24+1 A DVI 24+1 1.5 MT ENMALLADO,"Cable DVI-D de 1,5 metros de longitud reforzado con malla de nylon trenzada que le da una alta resistencia. Preparado para conectar monitores con conexión DVI a las nuevas tarjetas gráficas que incorporen conectores DVI.
Preparado para Dual-Link (24 hilos).
Conector 1: DVI-D (24 1), macho.
Conector 2: DVI-D (24 1), macho.
Conector: chapado en oro.
Color del cable: negro y rojo.
Longitud: 1,5 Metro.

Contenido
Cable DVI-D de 1,5 metros"
CABLE HDMI A DVI 24+1 1.5 MT ENMALLADO,"<ul>
 	<li>Computador o cualquier otro dispositivo con puerto DVI a un televisor de alta definición con puerto HDMI o cualquier otra pantalla digital</li>
 	<li>Conectar tus dispositivos con salida HDMI (ordenador, reproductor de Blu-ray, PlayStation 3 o Xbox 360) a un monitor o televisor con puerto dvi</li>
 	<li>Tipo de conector: HDMI tipo macho a dvi de 24   1 pines macho.</li>
 	<li>Recubrimiento del conectores: Dorados</li>
 	<li>Longitud del cable: 1.50 metros</li>
 	<li>Color: Negro</li>
</ul>"
CABLE HDMI A RCA 1.5 MT ENMALLADO,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Fácil de instalar, conectar y usar.</span></li>
 	<li><span class=""a-list-item"">Fuerte compatibilidad, aplicable a equipos como ordenadores, televisión, equipos de alta definición, etc.</span></li>
 	<li><span class=""a-list-item"">Alambre de cobre puro, proporciona la mejor respuesta de alta frecuencia, para proporcionarte la mejor gran experiencia.</span></li>
 	<li><span class=""a-list-item"">Proceso de coincidencia de impedancia de cables de par trenzado, minimiza el acoso cruzado de la señal, garantiza la señal de transmisión sin errores.</span></li>
 	<li><span class=""a-list-item"">Este es un cable de transmisión de HDMI a RCA, no se puede utilizar RCA a HDMI, lo que significa que el dispositivo de visualización (TV o monitor) es el extremo RCA.</span></li>
</ul>"
Cable HDMI a MINI HDMI 1.5MT. PVC,"Largo del cable: 1.5 metros
Entrada: Mini Hdmi Macho
Salida: HDMI Macho
Version: 1.4
Filtros: 2 Filtros
Calidad: enmallado
1080P
Puntas enchapadas en Oro
Tapas de seguridad.
Color: negro líneas rojas
Color Negro
Apto para HD / Full HD
Compatibles con Dispositivos con Puertos HDMI (Común, Mini HDMI, ) como Smartphones, Games Portables, Tablet, Cámaras Digitales, Video Cámaras, Notebooks, PlayStation 3 &amp; 4, XBOX 360 &amp; One, etc)

El paquete incluye:
1 Cable Mini HDMI Macho a HDMI Macho/Macho 1.50m"
CABLE OPTICO OD2.20FINO 3 MT,"<ul>
 	<li>Este cable le proporciona la señal más limpia posible, incluso a niveles de volumen extremos</li>
 	<li>Estos cables utilizan un núcleo de baja pérdida de 1 mm, fibra sintética de baja fluctuación y conectores de metal pesado para amortiguar la vibración</li>
 	<li>Los cables ópticos transfieren la señal usando luz; eliminando por completo cualquier posibilidad de interferencias de RFI, EMI o bucle de tierra</li>
 	<li>La elegante CHAQUETA PVC HEAVY de 5.0 mm ayuda a evitar daños en el cable y agrega flexibilidad y durabilidad durante años de placer auditivo</li>
 	<li>ALIVIO DE LA TENSIÓN MOLDEADO reduce la tensión donde se unen el cable y los conectores</li>
 	<li>FERRULA CHAPADA EN ORO que previene la corrosión y proporciona la máxima protección de la punta de la fibra</li>
 	<li>CONSEJOS DE FIBRA PULIDOS DE PRECISIÓN para una transferencia de señal máxima (incluye protectores de punta)</li>
 	<li>Conéctese a su DVD, CD, Mini Disc, DAT u otro equipo de audio digital para obtener un sonido claro, completo y rico en detalles</li>
 	<li>Conectores: Macho a Toslink macho</li>
 	<li>Diseñado para CD, convertidores D / A, receptores de sonido Dolby Digital DTS Surround, DVD, reproductores y grabadoras MiniDisk, tarjetas de audio Pro, etc.</li>
</ul>"
CABLE TIPO 8 PLANO 1.5 MT PVC,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
 	<li><span class=""a-list-item"">Cable de alimentación comptaible </span><span class=""a-list-item"">de alta calidad 18 AWG 2 ranuras figura 8 AC (IEC320 C7 a NEMA 1-15P), funciona para: consolas de juegos, LED LCD TV, monitor, barra de sonido, impresoras y otros dispositivos que requieren 2 ranuras de cable de alimentación.</span></li>
 	<li><span class=""a-list-item"">Cable de alimentación con certificado UL, lo que te da mucha más seguridad mientras lo utilizas.</span></li>
 	<li><span class=""a-list-item"">Tipo de cable de alimentación: 2 ranuras, 18 AWG x 2C, 125 V 10 A. </span></li>
</ul>"
CABLE AUDIO PLUG A PLUG 1.5 Mts,"<ul>
 	<li>Ideal para conectar en una entrada auxiliar de audio un mp3, mp4, mp5, celular y cualquier otro dispositivo con salida auxiliar.</li>
 	<li>Conexión: plug 3.5mm en ambos extremos.</li>
 	<li>Largo:1,5 metroSi necesita un cable de audio enchufable de 3,5 mm los tenemos todos. ¡Ya no se queda corto! Los vendemos con la mejor calidad del mercado y en dimensiones especialmente largas, ideales para conectar tus auriculares estéreo, parlantes y otros dispositivos periféricos.

Solo ofrecemos en un solo lugar la más amplia variedad del mercado en alambres, conectores, adaptadores y lo mejor de todo.</li>
</ul>"
CABLE AUDIO PLUG A 2 RCA 1.5MT PVC,"<p align=""left""><em data-spm-anchor-id=""a2700.wholesale.0.i32.5677c3b1oTQhyW"">Plug macho estéreo a 2 RCA macho Phono Audio cable de altavoz:</em></p>

<ul>
 	<li><em>Conductor: estaño cobre, 10   10/0,10mm o 10   20/0,10mm, 28 AWG</em></li>
 	<li><em>Aislamiento: aislamiento de PVC</em></li>
 	<li><em>Color: Negro/Blanco/otro color</em></li>
 	<li><em>Grosor: 0,4mm, diámetro: 1,0 ± 0,1mm</em></li>
 	<li><em>Escudo: cobre de estaño, 10/0,10mm o 20/0. 10mm.</em></li>
 	<li><em>Chaqueta: PVC, sin migración contra ABS, sin plomo</em></li>
 	<li><em>Longitud: 1,2 M y otras longitudes disponibles.</em></li>
</ul>
<p align=""left""><em> </em></p>
<p align=""left"" data-spm-anchor-id=""a2700.wholesale.0.i30.5677c3b1oTQhyW""><em>Aparatos eléctricos de</em><em data-spm-anchor-id=""a2700.wholesale.0.i31.5677c3b1oTQhyW"">3,5mm Mini enchufe macho estéreo a 2 RCA macho Phono Audio cable de altavoz:</em></p>

<ul>
 	<li><em>Prueba: prueba 100% abierta y corta.</em></li>
 	<li><em>Resistencia de contacto: 30 máx.</em></li>
 	<li data-spm-anchor-id=""a2700.wholesale.0.i29.5677c3b1oTQhyW""><em>Tensión nominal: CA/CC 125 V</em></li>
 	<li><em>Corriente nominal: AC/DC 1A</em></li>
 	<li><em>Resistencia al voltaje: ca 250 V/1 min</em></li>
 	<li><em>Resistencia al aislamiento: 100 Min</em></li>
 	<li data-spm-anchor-id=""a2700.wholesale.0.i28.5677c3b1oTQhyW""><em>Temperatura de funcionamiento:-25 °C ~   85 °C</em></li>
</ul>"
CABLE DVD 1.5MT PVC,"<ul class=""ui-pdp-list__wrapper"">
 	<li class=""ui-pdp-list__item"">
<p class=""ui-pdp-family--REGULAR ui-pdp-list__text""><span class=""ui-pdp-color--BLACK ui-pdp-size--XSMALL ui-pdp-family--BOLD"">Conector de entrada</span>: RCA</p>
</li>
 	<li class=""ui-pdp-list__item"">
<p class=""ui-pdp-family--REGULAR ui-pdp-list__text""><span class=""ui-pdp-color--BLACK ui-pdp-size--XSMALL ui-pdp-family--BOLD"">Conector de salida</span>: RCA</p>
</li>
</ul>
<ul class=""ui-pdp-list__wrapper"">
 	<li class=""ui-pdp-list__item"">
<p class=""ui-pdp-family--REGULAR ui-pdp-list__text""><span class=""ui-pdp-color--BLACK ui-pdp-size--XSMALL ui-pdp-family--BOLD"">Largo del cable</span>: 5 m</p>
</li>
 	<li class=""ui-pdp-list__item"">
<p class=""ui-pdp-family--REGULAR ui-pdp-list__text""><span class=""ui-pdp-color--BLACK ui-pdp-size--XSMALL ui-pdp-family--BOLD"">Cantidad de conectores de entrada</span>: 3</p>
</li>
</ul>
<ul class=""ui-pdp-list__wrapper"">
 	<li class=""ui-pdp-list__item"">
<p class=""ui-pdp-family--REGULAR ui-pdp-list__text""><span class=""ui-pdp-color--BLACK ui-pdp-size--XSMALL ui-pdp-family--BOLD"">Cantidad de conectores de salida</span>: 3</p>
</li>
</ul>"
"CABLE PARA PLAY 1, 2 y 3","Cable AV de Audio y vídeo de alta calidad, Cable de Cable a 3 RCA, Cable de TV para Playstation PS1, PS2, Cable de consola PS3"
CABLE HDMI A HDMI 1.5 MT + MINI+ CRICRO,"1 Cable HDMI Macho/Macho 1.50m
1 Adaptador Mini HDMI a HDMI Hembra
1 Adaptador Micro HDMI a HDMI Macho
Fichas Golds Oro 24k
Color Negro
Apto para HD / Full HD / Ultra HD 4K
Compatibles con Dispositivos con Puertos HDMI (Común, Mini HDMI, Micro HDMI) como Smartphones, Games Portables, Tablet, Cámaras Digitales, Video Cámaras, Notebooks, PlayStation 3 &amp; 4, XBOX 360 &amp; One, etc)

<strong>El paquete incluye:</strong>
<ul>
 	<li>1 Cable HDMI Macho/Macho 1.50 metros</li>
 	<li>1 Adaptador Mini HDMI a HDMI Hembra</li>
 	<li>1 Adaptador Micro HDMI a HDMI Macho</li>
</ul>"
AUDIFONOS EXTRA BASS 450AP,"Diseño plegable y liviano
Micrófono compatible con Android, iPad, iPod, iPhone, Blackberry
Diafragmas de neodimio de 30 mm
Rango de frecuencia 10-24.000 Hz
Auriculares acolchados
Sensibilidades (dB/mW): 98 dB/mW
Unidad de diafragma: 30 mm
Longitud del cable: 1,2 m
Control remoto: Botón multifunción/ – App
Ofrece calidad Premium en excelente bajo"
Consola de Juegos K5,"Características:
1. Pantalla a color de 3,0 pulgadas.
2. La consola es delgada, portátil y elegante.
3. Dispositivo digital multiplataforma que se puede reproducir en la TV.
4. La función de retroiluminación de la pantalla garantiza que los jugadores puedan jugar.

Especificaciones:
Pantalla: pantalla a color TFT de 3 pulgadas.
Juegos: 500 juegos clásicos
Batería: batería recargable de iones de litio de 500 mAh.
Tiempo de funcionamiento: de 3 a 6 horas.
Idioma: chino, inglés.
El paquete incluye:
1 consola de juegos.
1 cable de carga.
1 línea AV.
1 manual de instrucciones"
AUDIFONOS KUBITE T996,"<div></div>
<div></div>
<div>Diseño plegable y liviano</div>
<div>Micrófono compatible con Android, iPad, iPod, iPhone, Blackberry</div>
<div>Diafragmas de neodimio de 30 mm</div>
<div>Rango de frecuencia 10-24.000 Hz</div>
<div>Auriculares acolchados</div>
<div>Sensibilidades (dB/mW): 98 dB/mW</div>
<div>Unidad de diafragma: 30 mm</div>
<div>Longitud del cable: 1,2 m</div>
<div>Control remoto: Botón multifunción/ – App</div>
<div>Ofrece calidad Premium en excelente bajo</div>"
AUDIFONOS XY550,"Diseño plegable y liviano
Micrófono compatible con Android, iPad, iPod, iPhone, Blackberry
Diafragmas de neodimio de 30 mm
Rango de frecuencia 10-24.000 Hz
Auriculares acolchados
Sensibilidades (dB/mW): 98 dB/mW
Unidad de diafragma: 30 mm
Longitud del cable: 1,2 m
Control remoto: Botón multifunción/ – App
Ofrece calidad Premium en excelente bajo"
AUDIFONO GAMER BASICO,"Diseño plegable y liviano
Diafragmas de neodimio de 30 mm
Rango de frecuencia 10-24.000 Hz
Auriculares acolchados
Sensibilidades (dB/mW): 98 dB/mW
Unidad de diafragma: 30 mm
Longitud del cable: 1,2 m
Ofrece calidad Premium en excelente bajo"
AUDIFONOS T156,"Diseño plegable y liviano
Diafragmas de neodimio de 30 mm
Rango de frecuencia 10-24.000 Hz
Auriculares acolchados
Sensibilidades (dB/mW): 98 dB/mW
Unidad de diafragma: 30 mm
Longitud del cable: 1,2 m
Ofrece calidad Premium en excelente bajo"
